0,136,659,157,17,3.0957952550009344,6924.0,23.0,1.0,2001.0,299.0,15.0,3.0,2019.0,121.0,8.0,5.0,2020.0,1.0,0.0,11.0,0.0,1,147,14,5,3
1,68,659,157,17,3.4713544870139303,,,,,,,,,,,,,2.0,0.0,19.0,0.0,2,67,6,3,2
0,95,659,157,17,2.9219280948873623,,,,,,,,,,,,,2.0,0.0,10.0,0.0,2,125,1,2,1
1,101,659,157,17,3.5519705475093923,,,,,,,,,,,,,2.0,0.0,29.0,0.0,2,83,12,4,4
1,286,403,23,17,3.506890595608518,581.0,6.0,6.0,2018.0,221.0,1.0,6.0,2019.0,150.0,6.0,6.0,2020.0,1.0,0.0,15.0,0.0,1,185,14,5,3
0,63,444,104,194,2.725480556997868,8936.0,22.0,7.0,1995.0,351.0,22.0,1.0,2019.0,2379.0,14.0,7.0,2026.0,1.0,0.0,9.0,0.0,1,146,6,3,2
1,63,152,61,94,3.3921472236645345,1054.0,18.0,2.0,2017.0,,,,,41.0,18.0,2.0,2020.0,1.0,0.0,18.0,0.0,1,71,6,3,2
1,63,659,126,85,3.546593564294939,,,,,,,,,,,,,1.0,0.0,13.0,0.0,1,131,2,3,2
0,257,659,157,17,2.3219280948873626,,,,,,,,,,,,,1.0,0.0,5.0,0.0,1,65,6,3,2
0,279,659,157,17,3.0269868333592873,,,,,,,,,,,,,1.0,0.0,13.0,0.0,1,154,6,3,2
0,63,90,126,124,3.238901256602631,,,,,,,,,,,,,1.0,0.0,13.0,0.0,1,99,6,3,2
0,63,242,126,53,2.94770277922009,10185.0,19.0,2.0,1992.0,265.0,18.0,4.0,2019.0,43.0,20.0,2.0,2020.0,1.0,0.0,9.0,0.0,1,91,2,3,2
0,63,51,126,94,3.614369445886757,3411.0,6.0,9.0,2010.0,,,,,124.0,6.0,9.0,2019.0,1.0,0.0,18.0,0.0,1,6,2,3,2
1,63,187,157,103,3.9917292966721747,1107.0,27.0,12.0,2016.0,377.0,27.0,12.0,2018.0,12.0,27.0,12.0,2019.0,1.0,0.0,32.0,0.0,1,171,2,3,2
0,329,424,94,130,3.3927474104487847,677.0,2.0,3.0,2018.0,,,,,54.0,2.0,3.0,2020.0,1.0,0.0,13.0,0.0,1,6,2,3,2
0,63,659,62,116,3.459431618637298,4502.0,11.0,9.0,2007.0,,,,,247.0,11.0,9.0,2020.0,1.0,0.0,11.0,0.0,1,192,14,5,3
0,63,374,126,53,2.845350936622437,,,,,,,,,175.0,1.0,7.0,2020.0,1.0,0.0,11.0,0.0,1,56,8,5,3
0,63,101,126,68,3.6818808028034042,4437.0,15.0,11.0,2007.0,441.0,24.0,10.0,2018.0,54.0,15.0,11.0,2019.0,1.0,0.0,19.0,0.0,1,86,6,3,2
1,61,659,157,17,3.558518613048906,,,,,,,,,,,,,2.0,0.0,21.0,0.0,2,4,0,1,0
0,63,659,157,144,3.0957952550009344,8163.0,2.0,9.0,1997.0,1241.0,15.0,8.0,2016.0,237.0,1.0,9.0,2020.0,1.0,0.0,11.0,0.0,1,154,6,3,2
1,63,659,157,17,3.2841837197791888,,,,,,,,,,,,,1.0,0.0,20.0,0.0,1,160,14,5,3
1,63,659,157,181,3.3787834934861767,305.0,9.0,3.0,2019.0,305.0,9.0,3.0,2019.0,61.0,9.0,3.0,2020.0,1.0,0.0,14.0,0.0,1,45,8,5,3
0,63,309,126,124,3.2776134368191165,,,,,,,,,,,,,1.0,0.0,11.0,0.0,1,67,6,3,2
0,54,659,157,17,3.0957952550009344,5571.0,7.0,10.0,2004.0,2829.0,10.0,4.0,2012.0,273.0,7.0,10.0,2020.0,2.0,0.0,11.0,0.0,2,89,1,2,1
0,63,499,153,59,3.418295834054489,,,,,,,,,,,,,1.0,0.0,12.0,0.0,1,42,6,3,2
0,105,659,157,17,2.8464393446710154,,,,,,,,,,,,,1.0,0.0,10.0,0.0,1,175,14,5,3
1,63,659,157,17,3.5068905956085183,,,,,,,,,,,,,1.0,0.0,15.0,0.0,1,56,8,5,3
0,63,386,30,128,2.5,6290.0,19.0,10.0,2002.0,446.0,19.0,10.0,2018.0,650.0,19.0,10.0,2021.0,1.0,0.0,8.0,0.0,1,193,14,5,3
1,204,659,157,17,3.594465636961452,707.0,31.0,1.0,2018.0,326.0,16.0,2.0,2019.0,23.0,31.0,1.0,2020.0,1.0,0.0,21.0,0.0,1,187,14,5,3
0,239,659,157,17,2.584962500721156,,,,,,,,,,,,,1.0,0.0,6.0,0.0,1,146,6,3,2
1,104,659,157,17,2.725480556997868,416.0,18.0,11.0,2018.0,,,,,51.0,18.0,11.0,2019.0,1.0,0.0,9.0,0.0,2,191,14,5,3
0,63,216,56,175,3.1751231351134614,3883.0,22.0,5.0,2009.0,,,,,,,,,1.0,0.0,17.0,0.0,1,6,2,3,2
0,329,352,107,151,2.807354922057604,,,,,247.0,6.0,5.0,2019.0,,,,,1.0,0.0,7.0,0.0,1,6,2,3,2
1,229,659,157,17,0.9182958340544896,,,,,,,,,,,,,,,,,0,0,10,0,5
0,63,659,35,91,3.039148671903071,5280.0,25.0,7.0,2005.0,,,,,152.0,8.0,6.0,2020.0,1.0,0.0,14.0,0.0,1,153,6,3,2
1,39,659,157,17,3.784941827437642,,,,,,,,,,,,,1.0,0.0,21.0,0.0,3,45,8,5,3
1,105,659,157,17,3.4565647621309536,,,,,,,,,,,,,1.0,0.0,15.0,0.0,2,92,14,5,3
0,244,659,157,181,3.378783493486176,7364.0,10.0,11.0,1999.0,907.0,15.0,7.0,2017.0,672.0,10.0,11.0,2021.0,1.0,0.0,14.0,0.0,1,64,6,3,2
